episod,score,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,10728.094019,-0.729881990184,-2.97953890611,0.0,1.38807501139,0.928740554752,0.0,-0.514036698267,-1.86697563938,-15.7712376904,6.96654304138,9.12221989778,0.0,436.790555661,441.014796768,375.978898738,416.945108349
2,10707.3629501,-0.724436569095,-3.01312217671,0.0,1.41791288215,0.969280435201,0.0,-0.50628897692,-1.91517852591,-15.7428430624,7.01231337217,9.18491215881,0.0,435.975522534,442.44401352,374.662404789,418.061537565
3,10787.3503593,-0.719379092267,-3.01655815967,0.0,1.38016412032,0.88544011403,0.0,-0.499631616862,-1.92432143664,-15.8477899289,7.03016825521,9.16355085919,0.0,435.69926732,442.561267081,374.263542914,420.300337036
4,10845.1490955,-0.922256832875,-3.56458264681,0.0,3.27753695526,1.41441346132,0.0,-0.918364409906,-2.71722755488,-16.0687058389,7.90468467277,9.42896810962,0.0,416.000392852,501.497124044,406.198674637,534.273692364
5,11424.6853756,-1.13561131577,-3.7998869164,0.0,4.30422651266,2.12160854602,0.0,-2.1305513922,-2.669466939,-15.9947814929,10.301083271,8.91058678743,0.0,403.767546951,493.809994285,399.363695531,503.838282387
6,10556.8156107,-2.23003249386,-6.08105253371,0.0,2.31078004037,4.75709655344,0.0,-1.22929970829,-8.0325006812,-14.5043665394,11.1453357066,7.48055019178,0.0,481.964236392,478.082127252,374.353189804,529.699165822
7,10689.6206756,-2.48339399778,-2.55410943821,0.0,2.14898540698,5.67541804135,0.0,-0.665086331619,-4.79082376256,-14.8212434542,9.35061987732,7.3608296827,0.0,487.430922242,466.095049184,425.003033631,533.991552177
8,11608.7541167,0.817185814812,-2.04101767804,0.0,0.983671604246,3.02411714902,0.0,-2.10974542193,2.84014987479,-15.6596010921,8.14992364785,6.37318033631,0.0,340.473150878,379.377212136,521.127154447,507.800157165
9,11211.5279571,-0.726522515126,-7.91042834643,0.0,4.55759857731,1.98137884388,0.0,-2.25863654003,-6.78824620025,-16.8493211239,13.1966136805,-3.52283389042,0.0,529.966961913,380.384810509,463.369644605,626.275966415
10,11477.2544327,0.0387407731134,-7.21403535696,0.0,3.44177848252,2.04756782455,0.0,-1.43073883566,-6.66831598005,-16.5263870742,10.7476335147,-3.66074836557,0.0,546.246278249,361.529334307,480.478380868,607.373031428
11,11033.3424943,-0.0815598894624,-4.89302454418,0.0,5.93592341953,4.61649733519,0.0,1.50077814925,-2.96252715083,-16.8682923716,8.65499070235,-1.35755856092,0.0,471.988162341,302.418727787,563.040085782,582.466545631
12,10382.2690332,1.2046947299,5.11502151533,0.0,5.44897716767,6.14268930431,0.0,2.56626136602,3.1329076322,-9.24695790333,15.3322387866,11.3356007184,0.0,527.786035186,600.397476711,563.325831628,729.993952657
13,10642.8461652,-0.847077891122,3.53769641668,0.0,4.31299736134,4.93592370763,0.0,-0.050048808104,4.94104795183,-10.0125359721,12.9307959424,11.0967438092,0.0,489.155051519,552.132530101,543.06778962,667.547762747
14,11197.0489879,0.623284863444,1.43998220496,0.0,1.76172671439,0.237614089514,0.0,1.25531535153,0.474247052401,-15.3440615512,11.9871233049,9.14636822252,0.0,551.983146022,454.204581238,526.812799819,621.067109196
15,10808.4952737,1.13008031866,-2.64738792783,0.0,5.05182690547,1.3785136629,0.0,2.38573946506,-3.07585884673,-15.2198513116,9.1113554341,1.25037672245,0.0,511.541743695,281.085689613,590.3631556,590.282186933
16,10728.5518682,0.477735738529,2.01591354775,0.0,4.59492489565,0.240672379867,0.0,1.43796443984,1.50643108889,-13.7359014999,11.9347644931,8.70399891402,0.0,544.130319842,501.496135816,599.830871498,674.112483973
17,11174.7855206,0.745659127672,-0.483066473326,0.0,5.79818466205,1.96180178468,0.0,0.711040107169,-0.637211868442,-16.1693425614,9.21588034745,4.31547249023,0.0,434.615541698,387.306109814,586.814791922,593.846929837
18,10640.113163,1.59258880854,-2.60025564155,0.0,1.03274788383,1.02240639856,0.0,4.4277333744,-1.18912115528,-14.2364733801,7.81150404949,0.951501259272,0.0,466.452917703,276.56761202,626.72082311,609.028487828
19,11642.8936834,2.50580984277,-5.88375953262,0.0,5.70683850931,0.339705447029,0.0,5.3919608941,-6.14198504096,-15.2303174602,8.7858767238,-4.25886081515,0.0,513.59551549,330.698127026,624.219227664,640.373192013
20,16551.6582487,0.503793113055,-28.1546025972,0.0,0.0168992319081,0.468730652968,0.0,-3.37590908178,-14.9923866595,-15.0047958111,17.6528899676,-20.8753625414,0.0,755.493470779,388.208311513,543.937058047,773.995543078
21,15098.0420517,4.4911559521,72.2470015621,0.0,3.58972437753,4.46822267633,0.0,0.973734097189,21.8884611909,-9.8416024895,11.9401586442,16.3034318732,0.0,761.909153529,899.497974844,832.59865268,899.407168603
22,18206.4490933,5.00742898355,-26.299147612,0.0,3.57611475767,5.99340086917,0.0,4.85866608298,-13.1754534209,-14.9597719229,-10.408914818,-21.0734199269,0.0,721.955723431,293.461788368,585.024807591,405.927010332
23,28315.0818651,1.29008660755,-30.0337670783,0.0,4.82160795311,2.3128135762,0.0,1.05226837226,-11.6806649633,-17.5226007034,-17.6104028725,-22.5046613751,0.0,720.750001627,231.14211591,585.033684696,232.278539843
24,10519.4379694,3.95679074514,-2.24118874677,0.0,4.06619043178,1.75737453926,0.0,2.25078181983,-3.46024066111,-11.6968662487,-1.3423927152,-5.1959433267,0.0,470.467652438,308.401274364,584.64229442,419.44732005
25,10344.8087007,1.24158985983,-4.83538048091,0.0,6.09054320719,4.25061543511,0.0,1.9642930779,-4.01989087425,-16.3735404992,-5.91150796371,-9.74180564242,0.0,528.344650114,235.318353135,622.773797965,444.735748408
26,11019.7427401,1.66426241177,-2.76853959058,0.0,4.21748285934,5.11613840807,0.0,3.25471988868,-2.90510870221,-14.5156699367,-5.18681709942,-9.62787858058,0.0,565.593337911,218.185153626,591.572825222,434.784515449
